Country,Description,buyers,quantity,revenue
Australia,SPOTTY BUNTING,5,192,830.4000000000001
Australia,PAPER BUNTING RETROSPOT,4,220,585.0
Australia,BAKING SET SPACEBOY DESIGN,4,186,803.1
Australia,RECYCLING BAG RETROSPOT,4,130,248.0
Australia,BAKING SET 9 PIECE RETROSPOT,4,112,487.2
Australia,RED TOADSTOOL LED NIGHT LIGHT,3,1344,1987.1999999999998
Australia,LUNCH BAG SPACEBOY DESIGN,3,450,662.5
Australia,SET OF 12 FAIRY CAKE BAKING CASES,3,426,311.34000000000003
Australia,SET OF 12 MINI LOAF BAKING CASES,3,426,311.34000000000003
Australia,SET OF 6 TEA TIME BAKING CASES,3,418,441.86
Austria,POSTAGE,9,37,1456.0
Austria,RETROSPOT TEA SET CERAMIC 11 PC,4,45,205.95000000000002
Austria,PLASTERS IN TIN CIRCUS PARADE,3,48,79.19999999999999
Austria,DOLLY GIRL LUNCH BOX,3,36,70.19999999999999
Austria,PLASTERS IN TIN VINTAGE PAISLEY,3,36,59.39999999999999
Austria,KIDS RAIN MAC BLUE,2,48,40.8
Austria,KIDS RAIN MAC PINK,2,48,40.8
Austria,PACK OF 60 PINK PAISLEY CAKE CASES,2,48,26.400000000000002
Austria,ROUND SNACK BOXES SET OF4 WOODLAND,2,36,106.20000000000002
Austria,PLASTERS IN TIN WOODLAND ANIMALS,2,36,59.39999999999999
Bahrain,NOVELTY BISCUITS CAKE STAND 3 TIER,2,6,59.699999999999996
Bahrain,ICE CREAM SUNDAE LIP GLOSS,1,96,120.0
Bahrain,DOUGHNUT LIP GLOSS,1,60,75.0
Bahrain,GROW A FLYTRAP OR SUNFLOWER IN TIN,1,24,30.0
Bahrain,S/4 PINK FLOWER CANDLES IN BOWL,1,12,19.799999999999997
Bahrain,STRAWBERRY FAIRY CAKE TEAPOT,1,8,39.6
Bahrain,MINI CAKE STAND WITH HANGING CAKES,1,8,11.6
Bahrain,OCEAN SCENT CANDLE IN JEWELLED BOX,1,6,25.5
Bahrain,ROSE SCENT CANDLE IN JEWELLED BOX,1,6,25.5
Bahrain,VANILLA SCENT CANDLE JEWELLED BOX,1,6,25.5
Belgium,POSTAGE,25,275,4269.0
Belgium,ROUND SNACK BOXES SET OF4 WOODLAND,17,420,1181.4
Belgium,SPACEBOY LUNCH BOX,12,340,643.8
Belgium,ROUND SNACK BOXES SET OF 4 FRUITS,12,198,564.9000000000001
Belgium,PACK OF 72 RETROSPOT CAKE CASES,10,480,248.4
Belgium,DOLLY GIRL LUNCH BOX,10,340,643.8
Belgium,PLASTERS IN TIN SPACEBOY,10,156,257.4
Belgium,LUNCH BAG WOODLAND,9,160,264.0
Belgium,PLASTERS IN TIN WOODLAND ANIMALS,9,132,217.79999999999995
Belgium,CIRCUS PARADE LUNCH BOX,9,120,234.0
Brazil,SET OF 6 SPICE TINS PANTRY DESIGN,1,24,82.80000000000001
Brazil,SET/3 RED GINGHAM ROSE STORAGE BOX,1,24,81.36
Brazil,GREEN REGENCY TEACUP AND SAUCER,1,24,61.199999999999996
Brazil,PINK REGENCY TEACUP AND SAUCER,1,24,61.199999999999996
Brazil,ROSES REGENCY TEACUP AND SAUCER,1,24,61.199999999999996
Brazil,DOLLY GIRL LUNCH BOX,1,24,46.8
Brazil,SET OF 4 PANTRY JELLY MOULDS,1,24,30.0
Brazil,SMALL HEART FLOWERS HOOK,1,24,20.4
Brazil,REGENCY CAKESTAND 3 TIER,1,16,175.2
Brazil,PLEASE ONE PERSON METAL SIGN,1,12,25.200000000000003
Canada,RETRO COFFEE MUGS ASSORTED,1,504,534.24
Canada,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1,288,60.48
Canada,COLOURING PENCILS BROWN TUBE,1,60,50.4
Canada,LUNCH BAG  BLACK SKULL.,1,50,82.5
Canada,SCOTTIE DOGS BABY BIB,1,48,18.72
Canada,SAVE THE PLANET MUG,1,36,45.0
Canada,BOUDOIR SQUARE TISSUE BOX,1,36,14.040000000000001
Canada,CARAVAN SQUARE TISSUE BOX,1,36,14.040000000000001
Canada,MOTORING TISSUE BOX,1,36,14.040000000000001
Canada,RED RETROSPOT TISSUE BOX,1,36,14.040000000000001
Channel Islands,LOVE BUILDING BLOCK WORD,4,21,127.65
Channel Islands,DOORMAT HOME SWEET HOME BLUE,4,16,127.8
Channel Islands,JUMBO BAG RED RETROSPOT,3,250,460.7
Channel Islands,JUMBO BAG APPLES,3,220,399.6
Channel Islands,POLKADOT PEN,3,144,122.39999999999999
Channel Islands,WHITE HANGING HEART T-LIGHT HOLDER,3,108,318.6
Channel Islands,LUNCH BAG RED RETROSPOT,3,70,115.5
Channel Islands,JAM MAKING SET WITH JARS,3,66,250.5
Channel Islands,LUNCH BAG PINK POLKADOT,3,50,82.5
Channel Islands,RED RETROSPOT CAKE STAND,3,24,250.79999999999998
Cyprus,WHITE HANGING HEART T-LIGHT HOLDER,4,144,386.4
Cyprus,REGENCY CAKESTAND 3 TIER,4,30,382.5
Cyprus,CANDLEHOLDER PINK HANGING HEART,3,50,134.7
Cyprus,PARTY CONES CANDY ASSORTED,3,48,60.0
