Description,buyers,quantity,revenue
REGENCY CAKESTAND 3 TIER,881,12402,142592.94999999998
WHITE HANGING HEART T-LIGHT HOLDER,856,36725,100448.15000000001
PARTY BUNTING,708,15291,68844.33
ASSORTED COLOUR BIRD ORNAMENT,678,35362,56580.34
SET OF 3 CAKE TINS PANTRY DESIGN,640,7020,33347.8
JUMBO BAG RED RETROSPOT,635,46181,85220.78
PACK OF 72 RETROSPOT CAKE CASES,635,33693,16394.53
PAPER CHAIN KIT 50'S CHRISTMAS,613,15617,42660.83
NATURAL SLATE HEART CHALKBOARD,587,8480,24245.52
BAKING SET 9 PIECE RETROSPOT,581,4797,23007.55
HEART OF WICKER SMALL,573,16775,28228.64
JAM MAKING SET WITH JARS,573,8151,32662.97
SPOTTY BUNTING,571,7639,35539.25
JAM MAKING SET PRINTED,537,15055,21170.75
LUNCH BAG RED RETROSPOT,532,17697,28048.45
LUNCH BAG SPACEBOY DESIGN,490,9912,15881.199999999999
RETROSPOT TEA SET CERAMIC 11 PC,488,4248,20470.780000000002
HEART OF WICKER LARGE,485,9591,28520.95
REX CASH+CARRY JUMBO SHOPPER,480,1893,1798.35
LUNCH BAG CARS BLUE,479,10820,17265.68
